"ID","Liceo","Cittadinanza","Scuola Triennale","CDS Triennale","Carriera Triennale","Scuola Magistrale","CDS Magistrale","Carriera Magistrale"
"99595224","Classica","ITALIANA","Des","DESIGN DELLA COMUNICAZIONE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99595174","Scientifica","ITALIANA","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99596844","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99694936","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99613178","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MATEMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99797956","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99592745","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598215","Classica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99595805","Classica","ITALIANA","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99612167","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99599909","Artistica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593088","TECNICA PER GEOMETRA","ALBANESE","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99606581","Magistrale","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594346","Scientifica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99595344","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99606203","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Laurea Triennale Ing - Civ","#N/A","#N/A","#N/A"
"99593962","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99608087","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99656111","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99592212","Artistica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99591821","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99597300","Classica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA DELLE COSTRUZIONI","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99593437","Artistica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99604810","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598150","Artistica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99598874","Scientifica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593254","Classica","ITALIANA","Des","DESIGN DELLA COMUNICAZIONE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99599210","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99595369","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99591055","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","INGEGNERIA EDILE - ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99611270","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELL'AUTOMAZIONE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99592414","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99598450","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598445","Linguistica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99598622","Artistica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA AMBIENTALE","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99594974","TECNICA PER GEOMETRA","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594747","Classica","ITALIANA","Arc - Urb - Cost","INGEGNERIA EDILE - ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99595547","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99600950","ESTERA","CINESE","Ing Ind - Inf","INGEGNERIA ELETTRICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592439","TECNICA PER GEOMETRA","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99597612","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99613488","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99597797","Linguistica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592386","Linguistica","MOLDAVA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592716","Scientifica","ITALIANA","Des","DESIGN DELLA COMUNICAZIONE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99597545","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99612473","Scientifica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99601457","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99596965","Classica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99599082","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99657187","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA BIOMEDICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99612064","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99614309","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99596274","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99592702","Scientifica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99597604","Scientifica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99611247","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99654753","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Attiva Triennale","#N/A","#N/A","#N/A"
"99600825","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA FISICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99616416","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99607564","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99595578","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99610634","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99608781","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99606287","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99660607","Classica","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Laurea Triennale Ing - Civ","#N/A","#N/A","#N/A"
"99610560","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592463","Scientifica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA DELLE COSTRUZIONI","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99598140","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99878035","TECNICA COMMERCIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99593353","Artistica","PERUVIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592058","Classica","ITALIANA","Arc - Urb - Cost","URBANISTICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99604768","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99591842","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99591879","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA EDILE - ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99593257","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99594856","Classica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA AMBIENTALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99601102","ESTERA","FRANCESE","Ing - Civ","INGEGNERIA CIVILE","Laurea Triennale Ing - Civ","#N/A","#N/A","#N/A"
"99599795","Linguistica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593867","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99599705","ESTERA","ITALIANA","Arc - Urb - Cost","ARCHITETTURA AMBIENTALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598103","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99591735","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594502","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598497","ESTERA","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99608676","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELL'AUTOMAZIONE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99602901","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99618335","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99609942","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99609438","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99613083","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99610499","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99627150","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99603332","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99606191","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA FISICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99609645","ESTERA","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Laurea Triennale Ing - Civ","#N/A","#N/A","#N/A"
"99602188","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA PER L'AMBIENTE E IL TERRITORIO","Attiva Triennale","#N/A","#N/A","#N/A"
"99610934","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99607817","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99606412","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99609344","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99610304","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99611064","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99604973","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99601361","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99596635","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA EDILE - ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99608705","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99618948","Classica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99605414","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA FISICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99619753","Scientifica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA E PRODUZIONE EDILIZIA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99600908","ESTERA","IRANIANA","Arc - Urb - Cost","ARCHITETTURA E PRODUZIONE EDILIZIA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598351","Scientifica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99599568","Scientifica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99798641","ESTERA","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99610724","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99591570","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99601157","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Attiva Triennale","#N/A","#N/A","#N/A"
"99608853","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99617126","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99599407","Linguistica","ITALIANA","Des","DESIGN DEGLI INTERNI","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592282","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99592962","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99609067","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99606310","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA BIOMEDICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594136","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99612845","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99609055","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99600446","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99611397","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99604588","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99601473","Classica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99662302","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELLE TELECOMUNICAZIONI","Disattivata Triennale","#N/A","#N/A","#N/A"
"99608527","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA FISICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99608530","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA FISICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99612997","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594842","Scientifica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99604471","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99600763","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99637237","Scientifica","CINGALESE","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593013","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99596312","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99612362","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598386","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99608602","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99600520","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99594464","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99597850","Artistica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99599629","Magistrale","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99616358","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592383","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99603015","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA PER L'AMBIENTE E IL TERRITORIO","Disattivata Triennale","#N/A","#N/A","#N/A"
"99611649","Classica","ITALIANA","Des","DESIGN DEGLI INTERNI","Disattivata Triennale","#N/A","#N/A","#N/A"
"99603755","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99603750","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99611507","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA BIOMEDICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99668322","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA BIOMEDICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99603569","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99609049","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99626521","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99596507","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99609057","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99609132","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Attiva Triennale","#N/A","#N/A","#N/A"
"99599820","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELLE TELECOMUNICAZIONI","Disattivata Triennale","#N/A","#N/A","#N/A"
"99592979","Scientifica","ITALIANA","Arc - Urb - Cost","URBANISTICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99595475","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99602698","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99801009","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99599114","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99626861","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99609141","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MATEMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99596707","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99591826","Professionale","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99610083","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99611014","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99603761","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99611039","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99599274","Scientifica","ITALIANA","Arc - Urb - Cost","URBANISTICA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99595944","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MATEMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99610312","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99609646","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99603772","Scientifica","ITALIANA","Arc - Urb - Cost","INGEGNERIA DELL' EDILIZIA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99600665","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Attiva Triennale","#N/A","#N/A","#N/A"
"99626959","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99601138","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593991","Artistica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99604490","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA PER L'AMBIENTE E IL TERRITORIO","Laurea Triennale Ing - Civ","#N/A","#N/A","#N/A"
"99595227","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MECCANICA","Disattivata Triennale","#N/A","#N/A","#N/A"
